序号,课程编码,课程名称,星期节次,教室
21,061M5037H,生物化学实验,周六(1-8),学3-537（生命学院教学实验室）
212,061M5041H,生命科学研究中的色谱、质谱和组学技术,周三(5-7),教2-127
213,061M5045H,生物化学实验原理与技术,周一(3-4),教2-105
213,061M5045H,生物化学实验原理与技术,周三(3-4),教2-105
214,061M5046H,神经科学的表述与撰写,周一(9-11),教2-213
214,061M5046H,神经科学的表述与撰写,周三(5-7),教2-213
218,071M4005H,工程地震学,周三(5-7),教2-423
219,071M4007H,空间等离子体物理学,周五(9-11),教2-121
221,071M4011H,有限元方法与计算地球动力学,周日(9-11),教2-223
224,071M5002H,现代地学实验分析技术,周三(5-7),教2-419
225,071M5003H,高等地震学,周一(2-4),教2-429
225,071M5003H,高等地震学,周五(2-4),教2-429
228,071M5008H,构造物理学基础,周三(5-7),学4-317
231,071M5015H,地震仪器操作及台站布设,周五(9-10),学4-317
231,071M5015H,地震仪器操作及台站布设,周六(1-8),地球物理观测教学实验室(一)
232,072M4001H,火成岩石学,周三(5-7),教2-206
241,072M4017H,第四纪地质与环境,周三(5-7),教2-429
243,072M4020H,矿床地球化学,周一(1-3),教2-227
243,072M4020H,矿床地球化学,周五(1-3),教2-227
244,072M4021H,沉积大地构造学,周一(1-3),教2-127
244,072M4021H,沉积大地构造学,周五(1-3),教2-127
246,072M5005H,层序地层学,周三(5-7),教2-325
246,072M5005H,层序地层学,周五(9-11),教2-325
249,072M5014H,构造与成矿作用（含矿田构造）,周五(1-3),教2-225
251,072M5018H,稳定同位素与古环境,周三(5-7),教2-429
253,072M5021H,前新生代环境,周五(1-2),教2-421
255,072M5024H,地球化学概论,周三(5-7),教2-421
261,073M4007H,大气辐射学,周三(5-7),教2-218
262,073M4008H,大气探测学,周日(1-8),教2-118
263,073M4009H,大气化学,周日(5-7),教2-323
265,073M5001H,气候统计方法和应用,周五(1-3),教2-105
267,073M5005H,雷达气象学原理和应用,周五(2-4),教2-121
269,073M6001H,气候变化讨论课,周一(3-4),教2-207
269,073M6001H,气候变化讨论课,周三(3-4),教2-207
27,073M6007H,土壤碳氮过程与温室气体,周三(5-7),教2-325
274,075M5001H,岩体力学,周三(5-7),教2-421
283,07MGX012H,中国建筑赏析,周三(5-7),教1-107
286,081M1003H,现代自然地理学,周三(5-7),教2-201
288,081M1005H,资源经济学,周三(5-7),教2-329
298,081M2007H-1,地理信息系统应用实践-1,周一(3-4),学3-257(机房)
298,081M2007H-1,地理信息系统应用实践-1,周三(3-4),学3-257(机房)
299,081M2007H-2,地理信息系统应用实践-2,周一(3-4),学3-281(机房)
299,081M2007H-2,地理信息系统应用实践-2,周三(3-4),学3-281(机房)
301,081M4008H,空间分析,周五(1-3),教2-101
302,081M5005H,Python空间数据处理,周一(9-11),学3-257(机房)
303,081M5009H,全球导航卫星系统原理与应用,周三(5-7),教2-118
318,082M2008H,环境规划与管理,周三(5-7),教2-323
321,082M2014H-1,R语言及其在生态学中的应用-1,周一(9-11),学2-114
325,082M3004H,高原生态系统生态学,周三(5-7),教2-123
331,083M2001H,大气污染监测技术,周五(3-4),教2-334
337,083M5002H,纳米毒理学,周一(3-4),教2-229
337,083M5002H,纳米毒理学,周三(3-4),教2-229
338,083M5006H-1,环境微生物实验-1,周六(1-8),学4-341（环境微生物实验室）
339,083M5006H-2,环境微生物实验-2,周日(1-8),学4-341（环境微生物实验室）
341,083M5008H,环境纳米科学与技术,周五(1-2),教2-229
342,083M5009H,环境影响评价,周三(5-6),教2-319
343,083M5013H,高级废水生物处理工程,周一(3-4),教2-125
343,083M5013H,高级废水生物处理工程,周三(3-4),教2-125
345,083M5015H,工业废气控制过程、材料与技术,周五(3-4),教2-229
349,083M5023H-1,环境数据的统计学分析方法-1,周一(3-4),教1-209
349,083M5023H-1,环境数据的统计学分析方法-1,周三(3-4),教1-209
355,091M4001H,计算机体系结构,周一(9-11),教1-107
357,091M4021H-2,高级软件工程,周一(3-4),教1-207
357,091M4021H-2,高级软件工程,周三(3-4),教1-207
358,091M4023H,数理逻辑与程序理论,周三(5-7),教1-108
359,091M4041H,计算机算法设计与分析,周五(2-4),教1-101
373,091M5041H,人机交互,周三(5-7),教1-114
375,091M5047H,现代信息检索,周一(3-4),教1-107
375,091M5047H,现代信息检索,周三(3-4),教1-107
385,101M1002H,随机过程（电子与通信类）,周三(5-6),教1-207
387,101M1004H,信息论,周一(3-4),教1-108
387,101M1004H,信息论,周三(3-4),教1-108
388,101M4001H,现代雷达系统,周五(9-11),教1-209
389,101M4002H,高级通信原理I,周三(5-7),学2-304
399,101M6001H,电声原理与应用,周一(9-11),教1-417
401,101M6004H,微波遥感概论,周六(1-3),教1-125
406,102M4001H,微波电子学,周五(9-11),教1-223
411,102M4006H-1,半导体工艺与制造技术,周五(9-11),教1-109
413,102M4007H-1,微机电系统基础,周三(5-7),教1-115
415,102M4007H-3,微机电系统基础,周一(9-11),教1-223
418,102M5004H,最优化方法,周三(5-7),教1-304
423,102M6010H,飞秒激光技术应用,周三(3-4),教1-208
424,102M6011H,太阳能光伏技术与应用,周一(3-4),教1-115
424,102M6011H,太阳能光伏技术与应用,周五(3-4),教1-115
425,103M1003H,数学物理方法（电子与通信类）,周五(1-2),教1-406
429,103M5001H,气体放电与低温等离子体,周三(5-7),教1-315
43,103M6003H,超导精密测量技术及误差理论,周日(1-3),教1-123
431,111M4002H,连续介质力学（流体）,周三(5-7),教1-309
434,111M4006H,有限元方法,周五(1-2),教1-207
435,111M4007H,材料物理基础,周三(5-7),教1-424
441,111M4027H,高等岩石力学,周五(9-11),教1-225
441,111M4027H,高等岩石力学,周六(1-2),教1-225
442,111M5001H,非线性动力学与混沌,周三(5-7),教1-411
443,111M5002H,生物力学,周一(3-4),教1-413
443,111M5002H,生物力学,周五(3-4),教1-413
445,111M5006H,张量分析,周三(5-7),学2-116
447,111M5010H,气体动力学基础,周五(3-4),教1-215
451,112M4003H,热物理实验原理与技术,周三(5-7),教1-406
454,113M5001H,太阳能热发电技术,周三(5-7),学2-448
455,114D1002Z,当代建筑学理论,周一(9-11),N401
455,114D1002Z,当代建筑学理论,周日(9-11),N401
456,114D3003Z,建筑理论（三）——建筑设计方法论,周五(2-4),N208
457,115M1002H,高级管理学,周五(9-11),教1-113
461,115M1007H,大型复杂工程管理,周三(3-4),教1-214
461,115M1007H,大型复杂工程管理,周五(3-4),教1-213
462,115M2002H,工程造价管理,周五(1-2),教1-113
463,121D2001Z,研究生科研素养培养,周三(5-7),N413
469,121M1004H,管理科学方法论与工具应用,周一(3-4),教1-213
469,121M1004H,管理科学方法论与工具应用,周三(3-4),教1-213
471,121M5005H,决策分析,周五(2-4),教2-206
472,121M5006H,博弈论,周五(1-2),教1-208
476,122M5006H,技术创新与创业经济学,周三(5-6),教1-415
487,12MGB001H-01,科技信息检索与利用实用技巧（化学化工领域）,周五(2-4),L-145(机房)
491,12MGB001H-05,科技信息检索与利用实用技巧（电子领域）,周一(2-4),L-145(机房)
493,12MGB001H-07,科技信息检索与利用实用技巧,周三(5-7),L-145(机房)
495,12MGX001H-09,科技信息检索与利用实用技巧,周一(2-4),学2-216(机房)
507,12MGX032H,危机管理,周三(3-4),教1-304
507,12MGX032H,危机管理,周五(3-4),教1-304
511,12MGX045H,虚拟商务,周三(5-6),教1-324
512,12MGX046H,行为金融学,周三(5-6),教1-307
518,12MGX097H,服务管理,周五(1-2),教1-227
521,12MGX107H,工程经济学,周三(3-4),教1-307
521,12MGX107H,工程经济学,周五(3-4),教1-307
524,12MGX119H,大数据管理与应用,周一(3-4),教1-417
524,12MGX119H,大数据管理与应用,周三(3-4),教1-417
527,12MGX128H,团队合作:理论与案例,周三(5-7),教1-113
532,12MGX142H-2,科学数据管理与应用,周一(2-4),教1-127
533,12MGX143H,专利申请实务,周五(2-4),学3-257(机房)
534,12MGX147H,能源经济与绿色发展,周五(2-4),教2-323
536,12MGX149H,数据分析与统计机器学习,周三(5-7),教2-313
537,12MGX150H,应用统计学基础,周一(9-11),教1-123
539,131D2004Z,科技管理理论与方法,周三(5-7),N106
543,131D2011Z,风险分析与决策,周五(2-4),N210
547,131M1005H,可持续发展理论与实践,周三(5-7),教1-132
552,131M2011H,科技创新全球化导论,周三(5-7),学1-106
558,133M4003H,科技法学,周三(5-7),教1-121
561,13MGB001H-01,知识产权,周日(2-4),教1-101
562,13MGB001H-02,知识产权,周日(5-7),教1-101
564,13MGB001H-04,知识产权,周五(1-2),教1-009
565,13MGB001H-05,知识产权,周五(9-11),教1-002
566,13MGB001H-06,知识产权,周日(9-11),教1-101
568,13MGX002H,创新与创业管理,周三(5-7),教1-227
573,13MGX012H,技术合同与案例分析,周一(9-11),教1-208
579,13MGX068H,社会政策理论与实践,周三(5-7),教1-217
58,13MGX069H,中外政治制度和政府治理比较,周五(9-11),教1-115
581,13MGX074H,创新方法导论,周一(9-11),教1-225
585,141M2004H,伦理学思想流派,周一(2-4),学1-221
594,142M2002H,新闻采访与写作,周三(5-6),学1-121
6,143M2013H,西方科学史研究导论,周三(5-7),学1-006
603,143M4001H,科技考古,周五(2-4),学1-021
611,14MGX012H,美国科学技术史概论,周三(5-7),教1-305
615,14MGX020H,先秦思想史,周五(9-11),教1-114
616,14MGX025H,科学技术与公共政策,周一(9-11),教1-304
618,14MGX035H,植物学史,周三(5-7),教1-209
62,14MGX041H,科学技术史,周一(9-11),教1-109
626,14MGX062H,陶瓷的世界—贸易、文化和技术交流史,周一(9-11),教1-215
646,181M1008H,医学微生物学及进展,周三(5-7),教2-113
65,181M1015H,人类遗传疾病,周三(5-7),教2-114
654,181M2005H,病毒病与监控,周五(9-11),教2-118
661,183M2001H,医学发育生物学,周三(5-7),教2-219
662,183M2003H,医学材料学,周五(9-11),教2-123
664,191M4003H,高等数字集成电路分析及设计,周一(1-3),教1-214
667,192M5003H,半导体存储器技术,周三(5-6),教1-125
675,201M4010H,网络与系统安全,周五(9-11),教1-306
677,201M4012H,软件安全原理,周三(5-7),学2-418
678,201M4014H,信息安全数学基础,周三(5-7),教1-208
679,201M5001H,理论密码学,周三(5-7),学2-114
681,201M5006H,密码分析学,周一(3-4),教1-227
681,201M5006H,密码分析学,周三(3-4),教1-227
692,201M6009H,密码学中的量子计算基础,周五(3-4),教1-225
698,211M5002H,液态金属微流体学,周五(9-11),教1-313
699,212M5002H,肿瘤精准治疗的临床实践与未来技术,周三(5-7),教1-411
702,213M5001H,硅微机械加工,周三(5-7),学2-102
708,216M5002H,神经科学导论,周日(9-11),学2-116
709,216M5003H,系统神经科学,周日(9-11),学2-116
711,217M5002H,光谱及显微成像基础与前沿,周三(3-4),教1-115
714,23DGB002H-02,中国马克思主义与当代,周一(9-11),教1-002
728,23DGB002Z-01,中国马克思主义与当代,周五(1-4),S101
731,23MGB001H-01,中国特色社会主义理论与实践研究,周一(9-11),教2-101
732,23MGB001H-02,中国特色社会主义理论与实践研究,周一(9-11),教2-201
733,23MGB001H-03,中国特色社会主义理论与实践研究,周一(9-11),教1-101
747,23MGB001H-17,中国特色社会主义理论与实践研究,周五(1-4),教1-002
75,23MGB001H-20,中国特色社会主义理论与实践研究,周五(9-11),教1-101
753,23MGB001H-23,中国特色社会主义理论与实践研究,周六(1-4),教1-101
754,23MGB001H-24,中国特色社会主义理论与实践研究,周六(5-8),教1-101
765,241M4001H,认知心理学,周五(2-4),教1-214
777,251M1006H,现代控制理论,周三(5-7),教1-109
777,251M1006H,现代控制理论,周五(9-11),教1-107
78,251M5009H,智能人机交互,周三(5-7),教1-213
782,251M5011H,多媒体分析与理解,周一(9-11),教1-127
784,251M5016H,机器人机构学,周五(3-4),教1-113
785,251M5017H,机器人系统设计,周一(9-11),教1-227
788,251M5026H,复杂系统与复杂网络,周三(3-4),教1-113
792,251M6019H,嵌入式系统,周三(5-7),教1-127
793,251M6022H,人工智能哲学与伦理,周五(1-2),教1-115
795,261M4002H,纳米材料、结构物理特性,周一(1-3),学3-344
797,261M4006H,半导体纳米结构物理基础,周五(2-4),教2-221
799,261M5003H,纳米发电机与自驱动系统概论,周三(5-7),教2-238
802,261M5008H,纳米生物界面的物理化学,周三(3-4),教1-127
806,27MGX002H,美术研修及应用,周五(9-11),教2-105
807,27MGX003H,民族器乐理论与实践,周一(9-11),教1-306
81,27MGX006H,中国舞蹈基础,周三(5-7),礼堂
812,281M1001H,应用光学,周五(9-11),教1-208
817,281M2004H,光电技术实验,周日(5-7),学2-114
818,281M2005H,光学传感实验I,周日(5-7),学2-114
82,281M5007H,高等光学实验,周日(5-7),学2-114
821,283M1001H,精密仪器设计,周六(2-4),教1-113
822,283M4001H,传感器与信息测试技术,周六(5-7),教1-109
823,283M4004H,精密时间的产生与测量,周三(5-7),学1-221
826,291M1003H,粒子加速器技术I,周三(5-7),学3-142
827,291M1004H,核物理实验方法,周五(3-4),教2-118
835,291M2007H,中子物理,周一(3-4),教2-218
835,291M2007H,中子物理,周六(3-4),教2-218
842,301M4005H,生物过程工程,周三(5-7),教2-225
843,301M4009H,工业催化原理,周五(3-4),教2-104
844,301M4011H,化工数学模型与方法,周三(5-7),教2-223
849,311M4302H,高等土壤化学,周五(1-2),教2-319
851,311M4304H,环境土壤学,周三(5-7),教2-338
856,312M2203H,代谢调控：细胞、生理与进化,周三(5-7),教2-107
858,312M5212H,高级微生物组学,周五(1-2),教2-223
86,312M6216H,作物栽培新技术理论与实践研讨,周五(3-4),教2-336
865,315M4401H,水产生物遗传育种学,周五(1-2),教2-113
868,315M4414H,渔业资源管理与保护生物学,周一(9-10),教2-314
868,315M4414H,渔业资源管理与保护生物学,周三(3-4),教2-314
871,315M5404H,鱼类分子遗传与基因工程育种,周三(3-4),教2-113
873,315M5406H,水产生物发育生物学,周三(5-6),教2-413
878,315M5419H,饵料生物学,周三(5-7),教2-314
881,315M6409H,水产动物基因组学,周五(9-11),教2-114
886,315M6422H,特色海水养殖学 ,周五(9-11),教2-113
895,321M5008H,卫星海洋遥感与应用,周五(1-3),教2-327
901,TYMGX001H-03,吴氏太极拳,周三(5-6),东区操房1
905,TYMGX002H-01,软式排球普修（男女混班）,周一(3-4),西区羽毛球馆1
915,TYMGX005H-05,男子健身,周三(3-4),西区健身中心1
918,TYMGX006H-03,男子健身健美,周五(1-2),西区健身中心1
919,TYMGX006H-04,男子健身健美,周五(3-4),西区健身中心1
922,TYMGX008H,网球,周三(5-6),西区室外网球场
925,TYMGX010H-02,羽毛球（男女混班）,周三(3-4),体育馆
926,TYMGX010H-03,羽毛球（男女混班）,周三(5-6),体育馆
934,TYMGX011H-04,乒乓球（男女混班）,周五(1-2),体育馆
935,TYMGX011H-05,乒乓球（男女混班）,周五(3-4),体育馆
938,TYMGX013H-01,瑜伽（男女混班）,周一(1-2),体育馆
939,TYMGX013H-02,瑜伽（男女混班）,周一(3-4),体育馆
942,TYMGX013H-05,瑜伽（男女混班）,周三(3-4),西区羽毛球馆1
944,TYMGX015H,女子自由泳,周一(1-2),游泳馆
947,TYMGX017H-01,女子蛙泳,周一(3-4),游泳馆
